tract,voter_id
10202.0,1
13500.0,1
16000.0,1
18000.0,1
20035.0,1
20202.0,1
62620.0,1
250400.0,1
350000.0,1
355119.0,1
369001.0,1
372000.0,1
379000.0,1
400100.0,2389
400200.0,1477
400300.0,3975
400400.0,2796
400500.0,2541
400600.0,1296
400700.0,3159
400800.0,2378
400900.0,1650
401000.0,4100
401100.0,3185
401200.0,2099
401300.0,2424
401400.0,2441
401500.0,1524
401600.0,1468
401700.0,2333
401800.0,1154
402200.0,1559
402400.0,1701
402500.0,1124
402600.0,654
402700.0,1040
402801.0,1448
402802.0,676
402900.0,1421
403000.0,1803
403100.0,850
403301.0,618
403302.0,1719
403401.0,1806
403402.0,729
403501.0,3560
403502.0,1461
403600.0,2860
403701.0,1840
403702.0,1332
403800.0,2754
403900.0,2638
404000.0,2118
404101.0,2265
404102.0,1720
404200.0,2748
404300.0,2658
404400.0,4236
404501.0,1411
404502.0,4673
404600.0,3656
404700.0,1649
404800.0,1909
404900.0,3202
405000.0,2490
405100.0,3391
405200.0,3172
405301.0,1843
405302.0,1353
405401.0,1731
405402.0,1097
405500.0,1946
405600.0,1805
405700.0,1804
405800.0,1701
405901.0,1039
405902.0,872
406000.0,1805
406100.0,2351
406201.0,1724
406202.0,1428
406300.0,1628
406400.0,1182
406500.0,2707
406601.0,2627
406602.0,1315
406700.0,3920
406800.0,2536
406900.0,2553
407000.0,2986
407101.0,1413
407102.0,2123
407200.0,2251
407300.0,1155
407400.0,1484
407500.0,1558
407600.0,3292
407700.0,3406
407800.0,1440
407900.0,2109
408000.0,1928
408100.0,5028
408200.0,2632
408300.0,3099
408400.0,1757
408500.0,2447
408600.0,2707
408700.0,3854
408800.0,2640
408900.0,1249
409000.0,1920
409100.0,1106
409200.0,1558
409300.0,2057
409400.0,1595
409500.0,1291
409600.0,2073
409700.0,2283
409800.0,1944
409900.0,2738
410000.0,2324
410100.0,1737
410200.0,1784
410300.0,1480
410400.0,2335
410500.0,1303
421300.0,1
422000.0,1
422700.0,2
422902.0,2
423700.0,5
423800.0,45
423901.0,3
425101.0,1
425103.0,12
425104.0,72
426100.0,18
426200.0,112
427100.0,1
427300.0,1
428301.0,2
428400.0,1
430102.0,13
432300.0,1
432601.0,1
433102.0,1
435400.0,2
450102.0,7
451404.0,1
980900.0,1
981900.0,1
982000.0,56
983200.0,645
